pdb_id,entity_id,sequence_identity,evalue,score,Resolution,Pubmed_id,Polymer,Assembly,Method,pH,Temp,pdbx_details,pdbx_pH_range,Non_polymers,compound
1GWD,1,100.0,1.4129999999999998e-88,0.821,1.77,12037300,uni_pol,monomeric,,4.7,,";2M NACL, 0.025M SODIUM ACETATE AT PH4.7,0.1% SODIUM AZIDE, 25% ETHYLENE GLYCOL AND THEN SOAKED IN AN EQUIVALENT SOLUTION WITH 50MM KI/50MM I2., pH 4.70
;",,{'view_3d_url': 'https://www.rcsb.org/3d-view/1GWD'},"'sodium chloride' (2 M), 'sodium acetate' (0.025 M), 'ethylene glycol' (25%), 'potassium iodide' (50 mM)"
1HSX,1,100.0,1.4129999999999998e-88,0.821,1.9,10089340,uni_pol,monomeric,,9.6,,'pH 9.6',,,
1IC4,3,100.0,1.4129999999999998e-88,0.821,2.5,11297547,complex,trimeric,"'VAPOR DIFFUSION, HANGING DROP'",7.6,293.0,"'HEPES, MPD, PEG6000, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",,,"'HEPES' (nan), 'MPD' (nan), 'PEG 6000' (nan)"
1IC5,3,100.0,1.4129999999999998e-88,0.821,2.3,11297547,complex,trimeric,"'VAPOR DIFFUSION, HANGING DROP'",7.6,293.0,"'HEPES, PEG6000, MPD, pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 293K'",,,"'HEPES' (nan), 'PEG 6000' (nan), 'MPD' (nan)"
1JIT,1,100.0,1.4129999999999998e-88,0.821,1.9,11679726,uni_pol,monomeric,'LIQUID DIFFUSION',4.6,293.0,"'Na-acetate buffer, pH 4.6, 10% NaCl, 30% trehalose, LIQUID DIFFUSION at 293K'",,,"'acetate buffer' (nan), 'sodium chloride' (10%), 'Trehalose' (30%)"
1JIY,1,100.0,1.4129999999999998e-88,0.821,1.9,11679726,uni_pol,monomeric,'LIQUID DIFFUSION',4.6,293.0,"'Na-acetate buffer, pH 4.6, 10% NaCl, 20% sorbitol, LIQUID DIFFUSION at 293K'",,,"'acetate buffer' (nan), 'sodium chloride' (10%), 'Sorbitol' (20%)"
1JTO,2,100.0,1.4129999999999998e-88,0.821,2.5,11676532,complex,dimeric(*),"'VAPOR DIFFUSION, HANGING DROP'",6.4,300.0,"'PEG 8000, potassium phosphate, , pH 6.4, VAPOR DIFFUSION, HANGING DROP, temperature 300K'",,,"'PEG 8000' (nan), 'Potassium phosphate' (nan)"
1LJ3,1,100.0,1.4129999999999998e-88,0.821,2.0,12077436,uni_pol,monomeric(*),'LIQUID DIFFUSION',4.6,298.0,";Sodium Acetate (0.1M) Buffer, Sodium Nitrate (0.44M) Precipitant, pH 4.6, 
LIQUID DIFFUSION at 298K
;",,{'view_3d_url': 'https://www.rcsb.org/3d-view/1LJ3'},"'sodium acetate' (0.1 M), 'sodium nitrate' (0.44 M)"
1LJK,1,100.0,1.4129999999999998e-88,0.821,2.1,12077436,uni_pol,monomeric(*),'LIQUID DIFFUSION',4.6,293.0,";Sodium Acetate(0.1M)-Buffer, Sodium Nitrate (0.44M)-Precipitant, 
Trehalose(0.44M) - Additive, pH 4.6, LIQUID DIFFUSION at 293K
;",,{'view_3d_url': 'https://www.rcsb.org/3d-view/1LJK'},"'sodium acetate' (0.1 M), 'sodium nitrate' (0.44 M), 'Trehalose' (0.44 M)"
1LKR,1,100.0,1.4129999999999998e-88,0.821,1.6,9757091,uni_pol,monomeric(*),,8.0,,"'1% PROTEIN, 200 MMOLAR ACETATE BUFFER, PH 8, 5% SODIUM IODIDE, pH 8.0'",,{'view_3d_url': 'https://www.rcsb.org/3d-view/1LKR'},"'acetate buffer' (nan), 'Sodium iodide' (5%)"
1LKS,1,100.0,1.4129999999999998e-88,0.821,1.1,9757091,uni_pol,monomeric,,,,";THE CRYSTALS WERE GROWN IN THE PRESENCE OF BROMO PHENYL BLUE (BPB), AND THE CRYSTALS WERE DARK BLUE, ALMOST BLACK. HOWEVER, NO RELIABLE TRACE OF THE BPB WAS FOUND.
;",,{'view_3d_url': 'https://www.rcsb.org/3d-view/1LKS'},
